English Term,POS Tags,Sanskrit Terms
additional,a.,{#aDikaH/aDikataraH#}
addle,a.,{#asampUrRaH/nazwaH/duzwaH#}
address,v. a.,{#Amantr/samAmantr/aBiBAz/ABAz/samABAz/pratiBAz/aBivad/aBivac/Alap/nigad/gfhlAti/grahItuM#}
address,s.,{#samboDanaM/aBivAdaH/vAkyaM/vacanaM/vAkyAramBaH/nAmagrahaH/BAvakaraRaM/nEpuRyaM/caturatA/patrasaMjYA/patrAdeSaH#}
addressed,p. p.,{#samboDitaH/aBihitaH/samBAzitaH#}
adduce,,{#upanyas/upanI/AnI#}
adduced,p. p.,{#upanyastaH/upanItaH/AnItaH#}
adept,s.,{#aBijYaH/pawuH/nipuRaH/pravIRaH#}
adequacy,s.,{#sAmarTyaM/paryyAptiH/kzamatA/yogyatvaM#}
adequate,a.,{#paryyAptaH/kzamaH/samarTaH/pratibalaH/tulyaH/samAnaH/yogyaH#}
adhere,v. n.,{#saMj/sajyate/sajjate/anusaMj/AsaMj/prasaMj/saMsaMj/saMlagnaH/anulagnaH/saMyuktaH/avalambI/dfQAvalambI/(/lI/Df/DArayati#}
adherence,s.,{#AsaNgaH/anuzaNgaH/AsaktiH/prasaktiH/nizevanaM/parAyaRaH/tvarAyaRaM#}
adherent,s.,{#anuzaNgI/anugataH/anugAmI/sahAyaH/sahacaraH/ekapakzaH/pakzakaH/sapakzaH/pArSvikaH#}
adhesion,s.,{#anulagnatA/saMlagnatvaM/saMsaktiH#}
adhesive,a.,{#anulagnaSIlaH/saMlagnaSIlaH/anuzaNgikaH#}
adieu,s.,{#AmantraRaM/ApracCanaM/ApracC/Amantr/anumantr#}
adjacent,a.,{#samIpaH/AsannaH/nikawaH/sannadDaH/sannikfzwaH/saMsaktaH/pArSvasTaH#}
adjective,s.,{#guRavAcakaH/SabdaviSezaRaM#}
adjoin,v. a.,{#Ayuj#}
adjoin,v. n.,{#samIpaH/samIpavarttI#}
adjoining,,{##}
adjourn,v. a.,{##}
adjournment,s.,{##}
adipous,a.,{#medasvI/vasAyuktaH#}
adjudge,v. a.,{#dA/dApayati/tIr/tIrayati/nirRItaM/nizpannaM/pAr/pArayati#}
adjudged,p. p.,{#dApitaH/tIritaH/vicAritaH#}
adjudication,s.,{#dApanaM/tIraRaM/vicAraRaM#}
adjunct,a.,{#saMyuktaH/sahitaH/sammilitaH#}
adjunct,s.,{#anubanDaH#}
adjunction,,{#saMyojanaM/sammilanaM#}
adjuration,s.,{#SATanaM/SapaTavyavasTA#}
adjure,v. a.,{#Sap/SApayati#}
adjust,v. a.,{#samADA/sanDA/(#}
adjusted,p. p.,{#samAhitaH/vihitaH/AyojitaH#}
adjustment,s.,{#samADAnaM/sanDAnaM/viDAnaM/samAyogaH#}
adjutant,s.,{#sahAyaH/upakArakaH/sahakArI/sAhAyyakArI/n/sEnyapadaviSezaH#}
admensuration,s.,{#parimARaM/mApanaM/parimARavidyA#}
administer,v. a.,{#dA/upapad/(/prayuj/nirvah/(/nirvft/(/praRI#}
administered,p. p.,{#pravarttitaH/praRItaH#}
administration,s.,{#praRayanaM/karmmanirvAhaH/rAjyaDurA/sacivAH/karmmasacivAH/DIsacivAH/sAcivyaM/mantritvaM/BezajaprayogaH#}
administrator,s.,{#mftadravyanirUpaRADikftaH/pretajanadravyarakzakaH/praRetA/sampraRetA/pravarttayitA/pravarttakaH#}
admirable,a.,{#SlAGyaH/praSaMsanIyaH/adButaH/anupamaH/sundaraH#}
admirably,adv.,{#SlAGyaprakAreRa/praSaMsanIyaprakAreRa/adButaM#}
admiral,s.,{#jalayoDADipatiH/vfhannOsamUhADipatiH/jalayoDADyakzaH#}
admiralship,s.,{#vfhannOsamUhADipatyaM/jalayoDADipatitvaM#}
admiralty,s.,{#jalayudDavyavasTAnirUpaRe#}
admiration,s.,{#praSaMsA/SlAGA/vismayaH/AScaryyaM/camatkAraH#}
admire,v. n.,{#praSaMs/SlAG/SlAGate/SlAGituM/paSyati/drazwuM/apekz/snehena#}
admirer,s.,{#vismayI/SlAGakaH/praSaMsakaH/kAmI/anurAgavAn/praRayI/snehI/n#}
admissible,a.,{#grAhyaH/AdeyaH/upAdeyaH/pragfhyaH/svIkaraRIyaH#}
admission,s.,{#praveSanaM/praveSaH/vAkyagrahaRaM/svIkAraH/anujYA/aNgIkaraRaM#}
admit,v. a.,{#praviS/(/niviS/AviS/grah/gfhlAti/anugrah/aNgIkf#}
admittance,s.,{#praveSaH/vAkyasvIkAraH/grahaRaM#}
admitted,p. p.,{#praveSitaH/niveSitaH#}
admix,v. a.,{#miSr/miSrayati/vimiSr/sammiSraM#}
admixed,p. p.,{#miSritaH/sammiSritaH#}
admixtion,s.,{#miSraRaM/samparkaH/sANkaryyaM#}
